name	type	blazhko	period	log10(P_f/P_0)	metallicity	prior_mu	prior_mu_err	SF_ebv	SF_ebv_err	m_U_obs	m_U_obs_err	m_B_obs	m_B_obs_err	m_hipp_obs	m_hipp_obs_err	m_V_obs	m_V_obs_err	m_R_obs	m_R_obs_err	m_I_obs	m_I_obs_err	m_z_obs	m_z_obs_err	m_J_obs	m_J_obs_err	m_H_obs	m_H_obs_err	m_K_obs	m_K_obs_err	m_W1_obs	m_W1_obs_err	m_W2_obs	m_W2_obs_err	m_W3_obs	m_W3_obs_err	post_mu	post_mu_err	post_ebv	post_ebv_err	M_U_fit	M_U_fit_err	M_B_fit	M_B_fit_err	M_hipp_fit	M_hipp_fit_err	M_V_fit	M_V_fit_err	M_R_fit	M_R_fit_err	M_I_fit	M_I_fit_err	M_z_fit	M_z_fit_err	M_J_fit	M_J_fit_err	M_H_fit	M_H_fit_err	M_K_fit	M_K_fit_err	M_W1_fit	M_W1_fit_err	M_W2_fit	M_W2_fit_err	M_W3_fit	M_W3_fit_err
BKDra	RRab	False	0.5921	0.0493	-1.95	10.5386	0.1261	0.0376	0.0013	11.6247	0.0592	11.2840	0.0309	11.2293	0.0094	10.9613	0.0260	10.8216	0.0184	---	---	---	---	10.3610	0.0040	10.1354	0.0044	10.1089	0.0052	10.0026	0.0030	9.9974	0.0032	9.9908	0.0218	10.5744	0.0139	0.0108	0.0073	0.9980	0.0697	0.6646	0.0448	0.6188	0.0286	0.3529	0.0365	0.2189	0.0291	---	---	---	---	-0.2233	0.0153	-0.4452	0.0148	-0.4693	0.0148	-0.5737	0.0141	-0.5782	0.0142	-0.5839	0.0259
BNPav	RRab	False	0.5672	0.0306	-1.32	11.6869	0.1268	0.0722	0.0019	---	---	---	---	12.6395	0.0179	---	---	---	---	---	---	---	---	---	---	---	---	---	---	11.2329	0.0056	11.2298	0.0056	---	---	11.7497	0.0133	0.1006	0.0170	---	---	---	---	0.5544	0.0584	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5344	0.0142	-0.5307	0.0142	---	---
BPPav	RRab	False	0.5271	-0.0012	-1.48	11.7622	0.1282	0.0561	0.0023	---	---	---	---	12.6249	0.0278	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	11.3106	0.0047	---	---	11.7567	0.0137	0.0886	0.0176	---	---	---	---	0.5727	0.0639	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4557	0.0142	---	---
BRAqr	RRab	False	0.4819	-0.0401	-0.74	10.5687	0.1297	0.0238	0.0003	---	---	---	---	11.4950	0.0072	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.2939	0.0058	10.3130	0.0071	---	---	10.6673	0.0135	0.0708	0.0155	---	---	---	---	0.5915	0.0510	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3857	0.0144	-0.3619	0.0150	---	---
BTDra	RRab	False	0.5887	0.0468	-1.75	11.1006	0.1252	0.0086	0.0006	12.0710	0.0111	11.9436	0.0156	11.7445	0.0069	11.5652	0.0109	11.3541	0.0080	---	---	---	---	10.7770	0.0063	10.5630	0.0062	10.5806	0.0061	10.4103	0.0034	10.4202	0.0037	10.3753	0.0413	10.9747	0.0135	0.0590	0.0080	0.8123	0.0415	0.7242	0.0383	0.5733	0.0299	0.4060	0.0298	0.2255	0.0254	---	---	---	---	-0.2513	0.0162	-0.4453	0.0153	-0.4150	0.0149	-0.5747	0.0139	-0.5608	0.0140	-0.6007	0.0435
BVAqr	RRab	True	0.3644	-0.1615	-1.42	10.2180	0.1254	0.0286	0.0006	---	---	---	---	11.0037	0.0083	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.9959	0.0054	9.9948	0.0051	---	---	10.0916	0.0229	0.0812	0.0170	---	---	---	---	0.6415	0.0600	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.1099	0.0234	-0.1055	0.0234	---	---
BXLeo	RRc	False	0.3628	-0.0364	-1.28	10.8883	0.1258	0.0235	0.0015	---	---	11.9440	0.0170	11.6594	0.0067	11.5547	0.0048	11.3781	0.0051	11.2008	0.0055	11.6218	0.0043	10.9511	0.0053	10.7800	0.0059	10.7644	0.0071	10.6633	0.0057	10.6793	0.0057	---	---	11.0502	0.0130	0.0185	0.0077	---	---	0.8173	0.0366	0.5477	0.0277	0.4467	0.0259	0.2798	0.0226	0.1162	0.0185	0.5437	0.0165	-0.1159	0.0147	-0.2807	0.0143	-0.2923	0.0147	-0.3901	0.0140	-0.3728	0.0141	---	---
CGLib	RRc	False	0.3068	-0.1092	-1.19	10.2718	0.1320	0.1934	0.0128	---	---	---	---	11.6143	0.0058	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.1293	0.0052	10.1279	0.0049	---	---	10.3228	0.0177	0.2012	0.0164	---	---	---	---	0.6208	0.0556	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.2286	0.0184	-0.2164	0.0183	---	---
CGPeg	RRab	False	0.4671	-0.0536	-0.50	10.1743	0.1325	0.0647	0.0009	---	---	---	---	11.2793	0.0049	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.8530	0.0047	9.8623	0.0049	---	---	10.1825	0.0136	0.1438	0.0120	---	---	---	---	0.6173	0.0407	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3546	0.0143	-0.3356	0.0143	---	---
CIAnd	RRab	False	0.4847	-0.0376	-0.69	11.3465	0.1305	0.0585	0.0019	---	---	---	---	12.3960	0.0089	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.9765	0.0043	10.9789	0.0046	---	---	11.3406	0.0126	0.1315	0.0108	---	---	---	---	0.6168	0.0378	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3871	0.0132	-0.3758	0.0133	---	---
CSEri	RRc	False	0.3113	-0.1029	-1.41	8.3455	0.1251	0.0182	0.0004	---	---	---	---	9.0667	0.0019	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.0984	0.0045	8.1113	0.0040	8.0960	0.0091	8.3370	0.0171	0.0336	0.0149	---	---	---	---	0.6176	0.0506	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.2445	0.0175	-0.2294	0.0174	-0.2418	0.0193
DDHya	RRab	False	0.5018	-0.0225	-0.97	11.3880	0.1291	0.0210	0.0004	---	---	---	---	12.2517	0.0212	---	---	---	---	---	---	---	---	---	---	---	---	---	---	11.1008	0.0060	11.1053	0.0070	---	---	11.5111	0.0128	0.0480	0.0166	---	---	---	---	0.5805	0.0582	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4186	0.0139	-0.4109	0.0144	---	---
DHPeg	RRc	False	0.2555	-0.1887	-1.24	8.6623	0.1258	0.0822	0.0016	---	---	---	---	9.6165	0.0025	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.5625	0.0052	8.5768	0.0055	---	---	8.6008	0.0258	0.1061	0.0180	---	---	---	---	0.6617	0.0638	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.0568	0.0263	-0.0355	0.0263	---	---
DNAqr	RRab	False	0.6338	0.0788	-1.66	10.5845	0.1250	0.0219	0.0007	---	---	---	---	11.2930	0.0053	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.9119	0.0052	9.9178	0.0080	9.8626	0.0387	10.5447	0.0166	0.0629	0.0168	---	---	---	---	0.5387	0.0558	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6438	0.0171	-0.6337	0.0182	-0.6835	0.0421
DXDel	RRab	False	0.4726	-0.0486	-0.39	8.8231	0.1341	0.1145	0.0018	---	---	---	---	10.0346	0.0028	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.6332	0.0045	8.6582	0.0052	8.6200	0.0125	8.9812	0.0138	0.1340	0.0157	---	---	---	---	0.6067	0.0516	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3714	0.0142	-0.3374	0.0145	-0.3643	0.0185
FWLup	RRab	False	0.4842	-0.0381	-0.20	7.9191	0.1390	0.1552	0.0047	---	---	---	---	9.1470	0.0020	---	---	---	---	---	---	---	---	---	---	---	---	---	---	7.6428	0.0052	7.6578	0.0042	7.6535	0.0084	8.0088	0.0131	0.1603	0.0157	---	---	---	---	0.6036	0.0514	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3940	0.0139	-0.3682	0.0136	-0.3590	0.0155
HHPup	RRab	False	0.3907	-0.1312	-0.50	10.0797	0.1357	0.1522	0.0054	---	---	---	---	11.4170	0.0248	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.8786	0.0032	9.8857	0.0030	9.7739	0.0214	10.0220	0.0197	0.2289	0.0182	---	---	---	---	0.6317	0.0664	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.1834	0.0198	-0.1609	0.0198	-0.2534	0.0290
HKPup	RRab	False	0.7343	0.1428	-1.11	10.1600	0.1377	0.2979	0.0109	---	---	---	---	11.4502	0.0045	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.8629	0.0046	9.8591	0.0043	9.8207	0.0437	10.6280	0.0222	0.0960	0.0180	---	---	---	---	0.5021	0.0622	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.7819	0.0226	-0.7792	0.0225	-0.8095	0.0490
IKHya	RRab	True	0.6503	0.0901	-1.24	9.2449	0.1260	0.0580	0.0009	---	---	---	---	10.1603	0.0079	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.7387	0.0051	8.7354	0.0050	8.7046	0.0150	9.3912	0.0172	0.0729	0.0171	---	---	---	---	0.5259	0.0578	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6652	0.0178	-0.6637	0.0178	-0.6883	0.0228
IOLyr	RRab	False	0.5771	0.0382	-1.14	11.0029	0.1269	0.0580	0.0039	---	---	---	---	11.9471	0.0057	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.4924	0.0040	10.4921	0.0039	---	---	11.0260	0.0133	0.1098	0.0150	---	---	---	---	0.5549	0.0498	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5528	0.0137	-0.5457	0.0137	---	---
MSAra	RRab	False	0.5250	-0.0030	-1.48	11.1554	0.1254	0.1067	0.0017	---	---	---	---	12.1712	0.0090	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.6012	0.0053	---	---	11.0353	0.0138	0.1685	0.0158	---	---	---	---	0.5742	0.0525	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4521	0.0145	---	---
MTTel	RRc	False	0.3169	-0.0952	-1.85	8.3624	0.1257	0.0526	0.0026	---	---	---	---	9.0515	0.0019	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.0528	0.0060	8.0770	0.0045	8.0650	0.0102	8.3145	0.0167	0.0345	0.0151	---	---	---	---	0.6221	0.0510	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.2677	0.0176	-0.2412	0.0171	-0.2503	0.0195
RRCet	RRab	False	0.5530	0.0197	-1.45	9.0495	0.1251	0.0203	0.0003	---	---	---	---	9.8001	0.0047	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.5019	0.0046	8.4967	0.0057	8.4702	0.0132	8.9987	0.0128	0.0732	0.0157	---	---	---	---	0.5572	0.0511	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5097	0.0133	-0.5099	0.0138	-0.5302	0.0183
RRGem	RRab	True	0.3973	-0.1239	-0.29	10.3327	0.1505	0.0581	0.0009	---	---	---	---	11.4682	0.0656	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.2269	0.0067	10.2236	0.0056	---	---	10.3982	0.0194	0.1212	0.0175	---	---	---	---	0.6658	0.0881	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.1925	0.0204	-0.1876	0.0201	---	---
RRLeo	RRab	False	0.4524	-0.0676	-1.60	10.0176	0.1207	0.0346	0.0035	---	---	---	---	10.7816	0.0067	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.6300	0.0055	9.6277	0.0056	---	---	9.9342	0.0146	0.0745	0.0158	---	---	---	---	0.5989	0.0525	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3172	0.0154	-0.3144	0.0155	---	---
RRLyr	RRab	True	0.5668	0.0304	-1.39	7.1300	0.0749	0.0884	0.0029	---	---	8.1640	0.0102	7.7671	0.0216	7.6874	0.0095	7.5756	0.0134	---	---	---	---	---	---	---	---	---	---	6.4979	0.0072	6.4361	0.0089	6.4588	0.0051	6.9962	0.0143	0.1010	0.0096	---	---	0.7487	0.0409	0.4342	0.0389	0.3751	0.0321	0.3159	0.0295	---	---	---	---	---	---	---	---	---	---	-0.5159	0.0157	-0.5709	0.0167	-0.5397	0.0151
RSBoo	RRab	True	0.3773	-0.1463	-0.36	9.4632	0.1345	0.0122	0.0009	11.0377	0.0161	10.6999	0.0076	10.4385	0.0067	10.3927	0.0053	10.1735	0.0084	---	---	---	---	---	---	---	---	9.6157	0.0073	9.4144	0.0045	9.4376	0.0051	9.3974	0.0172	9.5506	0.0213	0.0992	0.0104	1.0091	0.0563	0.7375	0.0482	0.5570	0.0408	0.5314	0.0388	0.3640	0.0351	---	---	---	---	---	---	---	---	0.0299	0.0227	-0.1535	0.0218	-0.1236	0.0219	-0.1554	0.0274
RUCet	RRab	True	0.5863	0.0450	-1.66	11.0754	0.1252	0.0204	0.0006	---	---	---	---	11.7789	0.0086	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.5314	0.0062	10.5438	0.0077	10.4786	0.0739	11.0953	0.0143	0.0390	0.0157	---	---	---	---	0.5534	0.0524	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5707	0.0153	-0.5557	0.0161	-0.6178	0.0753
RUPsc	RRc	True	0.3903	-0.0047	-1.75	9.5342	0.1251	0.0405	0.0002	10.8122	0.0055	10.3626	0.0048	10.2505	0.0040	10.0942	0.0058	9.9088	0.0027	9.8370	0.0148	10.2620	0.0068	---	---	---	---	---	---	9.0705	0.0041	9.0784	0.0044	9.0624	0.0148	9.5232	0.0120	0.0447	0.0074	1.0738	0.0367	0.6539	0.0320	0.5783	0.0264	0.4312	0.0254	0.2690	0.0216	0.2306	0.0226	0.6712	0.0168	---	---	---	---	---	---	-0.4606	0.0126	-0.4496	0.0127	-0.4619	0.0190
RUScl	RRab	False	0.4933	-0.0299	-1.27	9.4811	0.1260	0.0174	0.0004	---	---	---	---	10.2643	0.0100	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.1405	0.0051	9.1488	0.0085	9.0974	0.0203	9.5362	0.0130	0.0440	0.0153	---	---	---	---	0.5814	0.0506	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4033	0.0136	-0.3920	0.0153	-0.4398	0.0241
RVCap	RRab	True	0.4477	-0.0720	-1.61	10.3711	0.1253	0.0451	0.0023	---	---	---	---	11.1668	0.0053	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.9708	0.0055	9.9747	0.0085	10.0247	0.0736	10.2668	0.0152	0.0873	0.0157	---	---	---	---	0.6089	0.0517	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3112	0.0159	-0.3015	0.0171	-0.2444	0.0752
RVCet	RRab	True	0.6234	0.0717	-1.60	10.2752	0.1201	0.0270	0.0006	---	---	---	---	11.0143	0.0039	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.5740	0.0037	9.5869	0.0037	9.5412	0.0224	10.1910	0.0158	0.0828	0.0160	---	---	---	---	0.5471	0.0526	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6314	0.0159	-0.6130	0.0159	-0.6515	0.0274
RVCrB	RRc	False	0.3316	-0.0755	-1.69	10.7633	0.1251	0.0371	0.0014	---	---	---	---	11.4850	0.0038	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.4759	0.0041	10.4815	0.0042	---	---	10.7718	0.0149	0.0335	0.0148	---	---	---	---	0.6014	0.0492	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3017	0.0152	-0.2940	0.0153	---	---
RVOct	RRab	False	0.5711	0.0337	-1.71	9.9290	0.1288	0.1540	0.0104	---	---	---	---	11.0300	0.0077	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.4510	0.0040	---	---	9.3666	0.0201	9.9671	0.0137	0.1531	0.0162	---	---	---	---	0.5523	0.0533	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5429	0.0139	---	---	-0.6041	0.0243
RVUMa	RRab	True	0.4681	-0.0528	-1.20	10.0507	0.1261	0.0160	0.0010	10.7862	0.0431	11.0654	0.0237	10.8455	0.0058	10.6617	0.0099	10.5260	0.0094	---	---	---	---	10.0945	0.0057	9.8792	0.0063	9.8387	0.0080	9.7355	0.0041	9.7391	0.0045	---	---	10.0784	0.0133	0.0513	0.0082	0.4606	0.0586	0.7740	0.0419	0.5960	0.0291	0.4227	0.0288	0.3136	0.0253	---	---	---	---	-0.0305	0.0154	-0.2284	0.0149	-0.2579	0.0155	-0.3519	0.0138	-0.3448	0.0140	---	---
RWCnc	RRab	True	0.5472	0.0151	-1.67	11.2381	0.1293	0.0186	0.0008	---	---	---	---	11.9334	0.0332	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.6749	0.0051	10.6785	0.0053	---	---	11.1663	0.0129	0.0603	0.0187	---	---	---	---	0.5659	0.0684	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5020	0.0134	-0.4943	0.0136	---	---
